id,name,anchor_type,subtype,latitude,longitude,ofsted,postcode
75521f3a-4cd6-4e9c-8cfd-f85bfa3f1868,Appletree Gardens First School,school,primary,,,,NE25 8XY
15e8d63f-c290-4c90-b2e7-24afc925da22,Collingwood Primary School,school,primary,,,,NE29 7QR
9a6b074e-42e2-465b-b352-070575ae2519,Cullercoats Primary School,school,primary,,,,NE30 4PF
55bb7963-782b-4a3d-ada1-27d74ee558a5,John Spence Community High,school,secondary,,,Requires Improvement,NE29 9PU
6fdf3c44-8832-41c1-ad3f-0475600e50c4,King Edward Primary School,school,primary,,,Outstanding,NE30 2LU
6f3dd9e3-67d3-4c44-8bc5-697b4042c07f,Kings Priory School,school,secondary,,,Outstanding,NE30 4RF
7d8ad794-dc07-42dc-87d9-2a98fb3d1f95,Marden High School,school,secondary,,,Good,NE30 3RZ
253704c2-88f2-43ce-938d-8efaa10db39c,Marine Park First School,school,primary,,,,NE26 1NE
a799b1f6-53a2-4fc0-a279-a025f8be754d,Monkseaton High School,school,secondary,,,Requires Improvement,NE25 8NH
10d05593-5ca2-475a-bc4d-156e4b899323,Monkseaton Middle School,school,primary,,,Good,NE25 8JW
96691af7-fe36-43ed-8578-deed8081284b,New York Primary School,school,primary,,,,NE29 8HH
aea60f4e-1953-4d6d-8144-eefa4b8fb044,Percy Main Primary School,school,primary,,,Good,NE29 6JD
d2f26f3c-85a9-4457-9012-ea9f19111a70,Priory Primary School,school,primary,,,,NE30 4QW
a6cb3d8b-74af-4d27-a03c-5e279d009388,Redesdale Primary School,school,primary,,,,NE30 2HY
bc053f3a-9372-4eca-b38d-51eeab3b6a43,Rockcliffe First School,school,primary,,,,NE25 8SH
7ea43bee-f5a8-4d7c-b6b8-97ad9af30a2d,Shiremoor Primary School,school,primary,,,,NE27 0QX
f1f13eca-fc40-43c3-a611-328173a8ce90,Southridge First School,school,primary,,,,NE25 9PD
cda5c427-77d6-473a-9b41-2fdc2f2773a1,Valley Gardens Middle School,school,primary,,,Good,NE25 9HA
57900fa5-d994-4bf5-bc39-862532d65740,Waterville Primary School,school,primary,,,,NE29 6SL
4481fa01-fdeb-4901-bf16-010229bc103f,Whitley Bay High School,school,secondary,,,Outstanding,NE25 9AS
3d69b539-bc6b-4a8d-8660-a9d48b98e362,Woodlawn School,school,primary,,,,NE25 9EG
7cd310d0-6e89-4d52-879e-55ec0b8fd9c4,Brierdene Burn Nature Reserve,spirit_point,park,,,,NE25 8RD
2e7806bb-2be1-49af-a17e-fcb09beff145,Churchill Playing Fields,spirit_point,park,,,,NE26 3LH
1564a7f8-76d7-4023-8246-958a722ed97c,Cullercoats Bay Beach,spirit_point,coastal,,,,NE30 4PS
ee3a69e9-5ea4-4bfe-b005-4e710cee2d2b,King Edwards Bay,spirit_point,coastal,,,,NE30 4BY
4fe3d4bb-9810-437d-9230-842cf4291ed0,Longsands Beach Access,spirit_point,coastal,,,,NE30 4HH
4b85540b-6a4d-40bd-a973-dd28f711e16b,Marden Quarry Park,spirit_point,park,,,,NE25 8PN
c0c2ffe6-d6c1-47eb-b914-39bb9d518fb6,Monkseaton Village,spirit_point,village_center,,,,NE25 8AL
12bfacbc-0079-4c18-ab8c-40fc39a7a1da,North Shields Fish Quay,spirit_point,village_center,,,,NE30 1HJ
07184a24-30da-4313-b6df-6577fc6eb3d9,Northumberland Park,spirit_point,park,,,,NE30 2HA
042308d7-a739-44cc-842b-e054f1eec5fd,Rising Sun Country Park,spirit_point,park,,,,NE12 9SS
b3e8d273-c45d-444a-93c3-0cc0e85117c4,Tynemouth Park,spirit_point,park,,,,NE30 4NZ
